name,type,specification,interface,chrome_version,status,feature_id,mdn_url,platform_status_url
"User-Agent Client Hints API",Specification,User-Agent Client Hints,"",90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/User-Agent_Client_Hints_API","https://chromestatus.com/feature/5704553735872512"
"NavigatorUAData",Interface,User-Agent Client Hints,Navigator,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/NavigatorUAData",""
"Navigator.userAgentData",Property,User-Agent Client Hints,Navigator,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/Navigator/userAgentData",""
"NavigatorUAData.getHighEntropyValues()",Method,User-Agent Client Hints,NavigatorUAData,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/NavigatorUAData/getHighEntropyValues",""
"NavigatorUAData.brands",Property,User-Agent Client Hints,NavigatorUAData,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/NavigatorUAData/brands",""
"NavigatorUAData.mobile",Property,User-Agent Client Hints,NavigatorUAData,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/NavigatorUAData/mobile",""
"NavigatorUAData.platform",Property,User-Agent Client Hints,NavigatorUAData,90,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/NavigatorUAData/platform",""
"AbortSignal.timeout()",StaticMethod,DOM,AbortSignal,103,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AbortSignal/timeout_static",""
"AbortSignal.any()",StaticMethod,DOM,AbortSignal,116,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AbortSignal/any_static",""
"AbortSignal.abort()",StaticMethod,DOM,AbortSignal,93,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AbortSignal/abort_static",""
"AbortSignal.throwIfAborted()",Method,DOM,AbortSignal,103,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AbortSignal/throwIfAborted",""
"AbortSignal.reason",Property,DOM,AbortSignal,93,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AbortSignal/reason",""
"WebCodecs API",Specification,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/WebCodecs_API","https://chromestatus.com/feature/5669293909868544"
"VideoFrame",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoFrame",""
"AudioData",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/AudioData",""
"EncodedVideoChunk",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/EncodedVideoChunk",""
"EncodedAudioChunk",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/EncodedAudioChunk",""
"VideoDecoder",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoDecoder",""
"VideoEncoder",Interface,WebCodecs,"",94,Stable,"","https://developer.mozilla.org/en-US/docs/Web/API/VideoEncoder",""
